month,day,hour,FuelCategory,GroupCount,mean_TimeStamp,mean_GenMW
1,1,0,Dual Fuel,13,01/01/2019 00:28:34,1800.38461538462
1,1,0,Hydro,13,01/01/2019 00:28:34,3056.07692307692
1,1,0,Natural Gas,13,01/01/2019 00:28:34,1241.15384615385
1,1,0,Nuclear,13,01/01/2019 00:28:34,5429.30769230769
1,1,0,Other Fossil Fuels,13,01/01/2019 00:28:34,0.923076923076923
1,1,0,Other Renewables,13,01/01/2019 00:28:34,276.538461538462
1,1,0,Wind,13,01/01/2019 00:28:34,1330.84615384615
1,1,1,Dual Fuel,12,01/01/2019 01:27:30,1657.08333333333
1,1,1,Hydro,12,01/01/2019 01:27:30,3200.75
1,1,1,Natural Gas,12,01/01/2019 01:27:30,1162.66666666667
1,1,1,Nuclear,12,01/01/2019 01:27:30,5428.83333333333
1,1,1,Other Fossil Fuels,12,01/01/2019 01:27:30,2.83333333333333
1,1,1,Other Renewables,12,01/01/2019 01:27:30,280.25
1,1,1,Wind,12,01/01/2019 01:27:30,1180.75
1,1,2,Dual Fuel,12,01/01/2019 02:27:30,1521.33333333333
1,1,2,Hydro,12,01/01/2019 02:27:30,3343.83333333333
1,1,2,Natural Gas,12,01/01/2019 02:27:30,1145.83333333333
1,1,2,Nuclear,12,01/01/2019 02:27:30,5426.75
1,1,2,Other Fossil Fuels,12,01/01/2019 02:27:30,3.08333333333333
1,1,2,Other Renewables,12,01/01/2019 02:27:30,276.166666666667
1,1,2,Wind,12,01/01/2019 02:27:30,990.583333333333
1,1,3,Dual Fuel,12,01/01/2019 03:27:30,1581.75
1,1,3,Hydro,12,01/01/2019 03:27:30,2889.08333333333
1,1,3,Natural Gas,12,01/01/2019 03:27:30,1114.58333333333
1,1,3,Nuclear,12,01/01/2019 03:27:30,5425.08333333333
1,1,3,Other Fossil Fuels,12,01/01/2019 03:27:30,2.58333333333333
1,1,3,Other Renewables,12,01/01/2019 03:27:30,274.25
1,1,3,Wind,12,01/01/2019 03:27:30,1182.58333333333
1,1,4,Dual Fuel,12,01/01/2019 04:27:30,1457.58333333333
1,1,4,Hydro,12,01/01/2019 04:27:30,3031.83333333333
1,1,4,Natural Gas,12,01/01/2019 04:27:30,1108.41666666667
1,1,4,Nuclear,12,01/01/2019 04:27:30,5427.91666666667
1,1,4,Other Fossil Fuels,12,01/01/2019 04:27:30,1.16666666666667
1,1,4,Other Renewables,12,01/01/2019 04:27:30,274.666666666667
1,1,4,Wind,12,01/01/2019 04:27:30,1018.91666666667
1,1,5,Dual Fuel,12,01/01/2019 05:27:30,1529
1,1,5,Hydro,12,01/01/2019 05:27:30,3466.5
1,1,5,Natural Gas,12,01/01/2019 05:27:30,1121.58333333333
1,1,5,Nuclear,12,01/01/2019 05:27:30,5429.83333333333
1,1,5,Other Fossil Fuels,12,01/01/2019 05:27:30,0.0833333333333333
1,1,5,Other Renewables,12,01/01/2019 05:27:30,274.833333333333
1,1,5,Wind,12,01/01/2019 05:27:30,760
1,1,6,Dual Fuel,12,01/01/2019 06:27:30,1750.5
1,1,6,Hydro,12,01/01/2019 06:27:30,3302.41666666667
1,1,6,Natural Gas,12,01/01/2019 06:27:30,1148.5
1,1,6,Nuclear,12,01/01/2019 06:27:30,5429.58333333333
1,1,6,Other Fossil Fuels,12,01/01/2019 06:27:30,0
1,1,6,Other Renewables,12,01/01/2019 06:27:30,274.833333333333
1,1,6,Wind,12,01/01/2019 06:27:30,925.75
1,1,7,Dual Fuel,12,01/01/2019 07:27:30,1959.58333333333
1,1,7,Hydro,12,01/01/2019 07:27:30,3018.58333333333
1,1,7,Natural Gas,12,01/01/2019 07:27:30,1146.33333333333
1,1,7,Nuclear,12,01/01/2019 07:27:30,5429.91666666667
