TimeStamp,FitzPatrick,Ginna,IndianPoint2,IndianPoint3,NineMilePoint1,NineMilePoint2,month,day
01/01/2019,100,100,100,100,100,100,1,1
01/02/2019,100,100,100,100,100,100,1,2
01/03/2019,100,100,100,100,100,100,1,3
01/04/2019,100,100,100,100,100,100,1,4
01/05/2019,100,100,100,100,100,100,1,5
01/06/2019,100,100,100,100,94,100,1,6
01/07/2019,100,100,100,100,100,100,1,7
01/08/2019,100,100,100,100,100,100,1,8
01/09/2019,100,100,100,100,100,100,1,9
01/10/2019,100,100,100,100,100,100,1,10
01/11/2019,100,100,100,100,100,100,1,11
01/12/2019,100,100,100,100,100,100,1,12
01/13/2019,100,100,100,100,100,100,1,13
01/14/2019,100,100,100,100,100,100,1,14
01/15/2019,100,100,100,100,100,100,1,15
01/16/2019,100,100,100,100,100,100,1,16
01/17/2019,100,100,100,100,100,100,1,17
01/18/2019,100,100,100,100,100,100,1,18
01/19/2019,100,100,100,100,100,100,1,19
01/20/2019,100,100,100,100,100,100,1,20
01/21/2019,100,100,100,100,100,100,1,21
01/22/2019,100,100,100,100,100,100,1,22
01/23/2019,100,100,100,100,100,100,1,23
01/24/2019,100,100,100,100,100,100,1,24
01/25/2019,100,100,100,100,100,100,1,25
01/26/2019,100,100,100,100,100,100,1,26
01/27/2019,100,100,100,100,100,100,1,27
01/28/2019,100,100,100,100,100,100,1,28
01/29/2019,100,100,100,100,100,100,1,29
01/30/2019,100,100,100,100,100,100,1,30
01/31/2019,100,100,100,100,99,100,1,31
02/01/2019,100,100,100,100,99,100,2,1
02/02/2019,100,100,100,100,98,100,2,2
02/03/2019,100,100,100,100,98,100,2,3
02/04/2019,100,100,100,100,97,100,2,4
02/05/2019,100,100,100,100,97,100,2,5
02/06/2019,100,100,100,100,97,100,2,6
02/07/2019,100,100,100,100,97,100,2,7
02/08/2019,100,100,100,100,96,100,2,8
02/09/2019,100,100,100,100,95,100,2,9
02/10/2019,100,100,100,100,95,100,2,10
02/11/2019,100,100,100,100,95,100,2,11
02/12/2019,100,100,100,100,94,100,2,12
02/13/2019,100,100,100,100,94,100,2,13
02/14/2019,100,100,100,100,93,100,2,14
02/15/2019,100,100,100,100,94,100,2,15
02/16/2019,100,100,100,100,93,100,2,16
02/17/2019,100,100,100,100,92,100,2,17
02/18/2019,100,100,100,100,92,100,2,18
02/19/2019,100,100,100,100,91,100,2,19
02/20/2019,100,100,100,100,91,100,2,20
02/21/2019,100,100,100,100,91,100,2,21
02/22/2019,100,100,100,100,91,100,2,22
02/23/2019,100,100,100,100,90,100,2,23
02/24/2019,100,100,100,100,90,100,2,24
02/25/2019,100,100,100,100,89,100,2,25
02/26/2019,100,100,100,100,89,100,2,26
02/27/2019,100,100,100,100,89,100,2,27
02/28/2019,100,100,100,100,88,100,2,28
03/01/2019,100,100,100,100,87,100,3,1
03/02/2019,38,100,100,100,87,68,3,2
03/03/2019,94,100,100,100,87,100,3,3
03/04/2019,94,100,100,100,87,100,3,4
03/05/2019,100,100,100,100,86,100,3,5
03/06/2019,100,100,100,100,86,100,3,6
03/07/2019,100,100,100,100,86,100,3,7
03/08/2019,100,100,100,97,85,100,3,8
03/09/2019,100,100,100,97,85,100,3,9
03/10/2019,100,100,100,97,84,100,3,10
03/11/2019,100,100,100,0,84,100,3,11
03/12/2019,100,100,100,0,84,100,3,12
03/13/2019,100,100,100,0,84,100,3,13
03/14/2019,100,100,100,0,83,100,3,14
03/15/2019,100,100,100,0,83,100,3,15
03/16/2019,100,100,0,0,83,100,3,16
03/17/2019,100,100,0,0,82,100,3,17
03/18/2019,100,100,0,0,0,100,3,18
03/19/2019,100,100,0,0,0,100,3,19
03/20/2019,100,100,0,0,0,100,3,20
03/21/2019,100,100,0,0,0,100,3,21
03/22/2019,100,100,0,0,0,100,3,22
03/23/2019,100,100,1,0,0,100,3,23
03/24/2019,100,100,13,0,0,100,3,24
03/25/2019,100,100,0,0,0,100,3,25
03/26/2019,100,100,0,0,0,100,3,26
03/27/2019,100,100,0,0,0,100,3,27
03/28/2019,100,100,0,0,0,100,3,28
03/29/2019,100,100,0,0,0,100,3,29
03/30/2019,100,100,0,0,0,74,3,30
03/31/2019,100,100,0,0,0,75,3,31
04/01/2019,100,100,2,0,0,78,4,1
04/02/2019,100,100,100,0,0,79,4,2
04/03/2019,100,100,0,0,0,90,4,3
04/04/2019,100,100,0,0,0,88,4,4
04/05/2019,100,100,12,0,0,100,4,5
04/06/2019,100,100,100,0,0,100,4,6
04/07/2019,100,100,100,0,0,100,4,7
04/08/2019,100,100,100,0,0,100,4,8
04/09/2019,100,100,100,2,0,100,4,9
04/10/2019,100,100,100,40,0,100,4,10
04/11/2019,100,100,100,75,0,100,4,11
04/12/2019,100,100,100,92,0,100,4,12
04/13/2019,100,100,100,100,2,100,4,13
04/14/2019,100,100,100,100,0,100,4,14
04/15/2019,100,100,100,100,5,100,4,15
04/16/2019,100,100,100,100,21,100,4,16
04/17/2019,100,100,100,100,0,100,4,17
04/18/2019,100,100,100,100,0,100,4,18
04/19/2019,100,100,100,100,0,100,4,19
04/20/2019,100,100,100,100,0,100,4,20
04/21/2019,100,100,100,100,0,100,4,21
04/22/2019,100,100,100,100,0,100,4,22
04/23/2019,100,100,100,100,0,100,4,23
04/24/2019,100,100,100,100,0,100,4,24
04/25/2019,100,100,100,100,0,100,4,25
04/26/2019,100,100,100,100,0,100,4,26
04/27/2019,100,100,100,100,23,100,4,27
04/28/2019,100,100,100,100,45,100,4,28
04/29/2019,100,100,100,100,60,100,4,29
04/30/2019,100,100,100,100,0,100,4,30
05/01/2019,100,100,100,100,0,100,5,1
05/02/2019,100,100,100,100,0,100,5,2
05/03/2019,100,100,100,100,0,100,5,3
05/04/2019,100,100,100,100,0,100,5,4
05/05/2019,100,100,100,100,0,100,5,5
05/06/2019,100,100,100,100,35,100,5,6
05/07/2019,100,100,100,100,99,99,5,7
05/08/2019,100,100,100,100,100,100,5,8
05/09/2019,100,100,100,100,100,100,5,9
05/10/2019,100,100,100,100,100,100,5,10
05/11/2019,100,100,100,100,100,100,5,11
05/12/2019,100,100,100,100,100,100,5,12
05/13/2019,100,100,100,100,100,100,5,13
05/14/2019,100,100,100,100,100,100,5,14
05/15/2019,100,100,100,100,100,100,5,15
05/16/2019,100,100,100,100,100,100,5,16
05/17/2019,100,100,100,100,100,100,5,17
05/18/2019,100,100,100,100,100,69,5,18
05/19/2019,100,100,100,100,100,100,5,19
05/20/2019,100,100,100,100,100,100,5,20
05/21/2019,100,100,100,100,100,100,5,21
05/22/2019,75,100,100,100,100,100,5,22
05/23/2019,100,100,100,100,100,100,5,23
05/24/2019,100,100,100,100,100,100,5,24
05/25/2019,100,100,100,100,100,100,5,25
05/26/2019,100,100,100,100,100,100,5,26
05/27/2019,100,100,100,100,100,100,5,27
05/28/2019,100,100,100,100,100,100,5,28
05/29/2019,100,100,100,100,100,100,5,29
05/30/2019,100,100,100,100,100,100,5,30
05/31/2019,100,100,100,100,100,100,5,31
06/01/2019,100,100,100,100,100,100,6,1
06/02/2019,100,100,100,100,100,100,6,2
06/03/2019,100,100,100,100,100,100,6,3
06/04/2019,100,100,100,100,100,100,6,4
06/05/2019,100,100,100,100,100,100,6,5
06/06/2019,100,100,100,100,100,100,6,6
06/07/2019,100,100,100,100,100,100,6,7
06/08/2019,100,100,100,100,100,100,6,8
06/09/2019,100,100,100,100,100,100,6,9
06/10/2019,100,100,100,100,100,100,6,10
06/11/2019,100,100,100,100,100,100,6,11
06/12/2019,100,100,100,100,100,100,6,12
06/13/2019,100,100,100,100,100,100,6,13
06/14/2019,100,99,100,100,100,100,6,14
06/15/2019,100,30,100,100,100,100,6,15
06/16/2019,100,30,100,100,100,100,6,16
06/17/2019,100,0,100,100,100,100,6,17
06/18/2019,100,3,100,100,100,100,6,18
06/19/2019,100,100,100,100,100,100,6,19
06/20/2019,100,100,100,100,100,100,6,20
06/21/2019,100,100,100,100,100,100,6,21
06/22/2019,100,100,100,100,100,100,6,22
06/23/2019,100,100,100,100,100,100,6,23
06/24/2019,100,100,100,100,100,100,6,24
06/25/2019,100,100,100,100,100,100,6,25
06/26/2019,100,100,100,100,100,100,6,26
06/27/2019,100,100,100,100,100,100,6,27
06/28/2019,100,100,100,100,100,100,6,28
06/29/2019,100,100,100,100,100,100,6,29
06/30/2019,100,100,100,100,100,100,6,30
07/01/2019,100,100,100,100,100,100,7,1
07/02/2019,100,100,100,100,100,100,7,2
07/03/2019,100,100,100,100,100,100,7,3
07/04/2019,100,100,100,100,100,100,7,4
07/05/2019,100,100,100,100,100,100,7,5
07/06/2019,100,100,100,100,100,100,7,6
07/07/2019,100,100,100,100,100,100,7,7
07/08/2019,100,100,100,100,100,100,7,8
07/09/2019,100,100,100,100,100,100,7,9
07/10/2019,100,100,100,100,100,100,7,10
07/11/2019,100,100,100,100,100,100,7,11
07/12/2019,100,100,100,100,100,100,7,12
07/13/2019,100,100,100,100,100,100,7,13
07/14/2019,100,100,100,100,100,100,7,14
07/15/2019,100,100,100,100,100,100,7,15
07/16/2019,100,100,100,100,100,100,7,16
07/17/2019,100,100,100,100,100,100,7,17
07/18/2019,100,100,100,100,100,100,7,18
07/19/2019,100,100,100,100,100,100,7,19
07/20/2019,100,100,100,100,100,100,7,20
07/21/2019,100,100,100,100,100,100,7,21
07/22/2019,100,100,100,100,100,100,7,22
07/23/2019,100,100,100,100,100,100,7,23
07/24/2019,100,100,100,100,100,100,7,24
07/25/2019,100,100,100,100,100,100,7,25
07/26/2019,100,100,100,100,100,100,7,26
07/27/2019,100,100,100,100,100,100,7,27
07/28/2019,100,100,100,100,100,100,7,28
07/29/2019,100,100,100,100,100,100,7,29
07/30/2019,100,100,100,100,100,100,7,30
07/31/2019,100,100,100,100,100,100,7,31
08/01/2019,100,100,100,100,100,100,8,1
08/02/2019,100,100,100,100,100,100,8,2
08/03/2019,100,100,100,100,100,100,8,3
08/04/2019,100,100,100,100,100,100,8,4
08/05/2019,100,100,100,100,100,100,8,5
08/06/2019,100,100,100,100,100,100,8,6
08/07/2019,100,100,100,100,100,100,8,7
08/08/2019,100,100,100,100,100,100,8,8
08/09/2019,100,100,100,100,100,100,8,9
08/10/2019,100,100,100,100,100,100,8,10
08/11/2019,100,100,100,100,100,100,8,11
08/12/2019,100,100,100,100,100,100,8,12
08/13/2019,100,100,100,100,100,100,8,13
08/14/2019,100,100,100,100,100,100,8,14
08/15/2019,100,100,100,100,100,100,8,15
08/16/2019,100,100,100,100,100,100,8,16
08/17/2019,100,100,100,100,100,100,8,17
08/18/2019,100,100,100,100,100,100,8,18
08/19/2019,100,100,100,100,100,100,8,19
08/20/2019,100,100,100,100,100,100,8,20
08/21/2019,100,100,100,100,100,100,8,21
08/22/2019,100,100,100,100,100,100,8,22
08/23/2019,100,100,100,100,100,100,8,23
08/24/2019,100,100,100,100,100,100,8,24
08/25/2019,100,100,100,100,100,100,8,25
08/26/2019,100,100,100,100,100,100,8,26
08/27/2019,100,100,100,100,100,100,8,27
08/28/2019,100,100,100,100,100,100,8,28
08/29/2019,100,100,100,100,100,100,8,29
08/30/2019,100,100,100,100,100,100,8,30
08/31/2019,100,100,100,100,100,100,8,31
09/01/2019,100,100,100,100,100,100,9,1
09/02/2019,100,100,100,100,100,100,9,2
09/03/2019,100,100,100,100,100,100,9,3
09/04/2019,100,100,100,100,100,100,9,4
09/05/2019,100,100,100,100,100,100,9,5
09/06/2019,100,100,100,100,100,100,9,6
09/07/2019,100,100,100,100,100,100,9,7
09/08/2019,100,100,100,100,100,100,9,8
09/09/2019,100,100,100,100,100,100,9,9
09/10/2019,100,100,100,100,100,100,9,10
09/11/2019,100,100,100,100,100,100,9,11
09/12/2019,100,100,100,100,100,100,9,12
09/13/2019,100,100,100,100,100,100,9,13
09/14/2019,100,100,100,100,100,100,9,14
09/15/2019,100,100,100,100,100,100,9,15
09/16/2019,100,100,100,100,100,100,9,16
09/17/2019,100,100,100,100,100,100,9,17
09/18/2019,100,100,100,100,100,100,9,18
