NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_0,HeatRateLM_R2,HeatRateQM_2,HeatRateQM_1,HeatRateQM_0,HeatRateQM_R2,useQM
"Arthur Kill ST 2",23512,J,Steam Turbine,Natural Gas,40.5915,-74.2027,349,96,2.85,28.5,85.5,171,8.65412318896438,251.263112851403,0.996140559594236,0.000856983770858873,8.32798731911618,275.66847300879,0.99616983292029,1
"Arthur Kill ST 3",23513,J,Steam Turbine,Natural Gas,40.5915,-74.2027,539,1,3.10833333333333,31.0833333333333,93.25,186.5,8.68808340821397,383.996016265124,0.985478146327669,-0.00289391633588232,9.96495091979835,270.306873288749,0.988941347560645,1
"Allegany",23514,B,Combined Cycle,Natural Gas,42.5083,-78.0661,66,13,0.733333333333333,7.33333333333333,22,44,6.7426811644242,56.5557270303053,0.811380569919747,-0.0393733277437275,9.9360608508798,-3.56980788872612,0.817869502104058,1
"Brooklyn Navy Yard",23515,J,Combined Cycle,Natural Gas,40.6994,-73.9758,240,115,1.59166666666667,15.9166666666667,47.75,95.5,10.2874648274776,223.80789252022,0.964558236894403,-0.0411652028272295,25.2183433817244,-1084.24623579676,0.988336283984875,1
"Astoria 3",23516,J,Steam Turbine,Fuel Oil 2,40.7869,-73.9122,756,162,6.03333333333333,60.3333333333333,181,362,4.50463614191795,251.915458139702,0.997412659812148,0.000376996336525718,4.21036552576828,292.598710856524,0.99756301300598,1
"Astoria 5",23518,J,Steam Turbine,Fuel Oil 2,40.7869,-73.9122,776,164,6.46666666666667,64.6666666666667,194,388,4.39443257111512,273.336491925867,0.984962915855474,0.00024956870900207,4.195305217324,302.013280915023,0.985028846956711,1
"Wading River 1",23522,K,Combustion Turbine,Fuel Oil 2,40.9569,-72.8774,102,11.5,1.25833333333333,12.5833333333333,37.75,75.5,12.4970665511006,15.9554796599624,0.94721818715491,-0.0525517003256464,18.1247188776787,-98.0123742038093,0.955462279066761,1
"Bowline 1",23526,G,Steam Turbine,Natural Gas,41.2044,-73.9689,621,96,6.20833333333333,62.0833333333333,186.25,372.5,8.28272077104178,691.513147285294,0.987207375408792,-0.00396430996617685,11.0312407781765,358.196580378001,0.990687462063859,1
"Ravenswood ST 01",23533,J,Steam Turbine,Fuel Oil 6,40.7585,-73.9451,380,2,2.75,27.5,82.5,165,8.94948519698996,230.515439739464,0.989740523767275,0.00218714485163509,8.08572655458763,290.300792683369,0.989956856747196,1
"Ravenswood ST 02",23534,J,Steam Turbine,Fuel Oil 6,40.7585,-73.9451,1000,4,7.85,78.5,235.5,471,9.05976096861761,584.337761334885,0.992012646396131,-0.00100854889815999,9.94489454192635,476.016382219178,0.993035612578433,1
"Ravenswood ST 03",23535,J,Steam Turbine,Fuel Oil 6,40.7585,-73.9451,392,83,2.78333333333333,27.8333333333333,83.5,167,8.97826700020151,217.576147923814,0.996071681416528,0.000345192562539171,8.83908691394232,227.701709942256,0.996076107156046,1
"Somerset",23543,A,Steam Turbine,Coal,43.3561,-78.6039,731,173,5.39166666666667,53.9166666666667,161.75,323.5,7.56411789056167,611.199720914661,0.993882016742659,0.00194956210894387,5.90341096827982,875.57468968981,0.994957788739977,1
