NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_1,HeatRateLM_0,HeatRateLM_R2,HeatRateQM_2,HeatRateQM_1,HeatRateQM_0,HeatRateQM_R2,useQM
"Arthur Kill ST 2",23512,J,Steam Turbine,Natural Gas,40.5915,-74.2027,349,96,2.85,28.5,85.5,171,8.66651552738479,252.390432925337,0.995836569427707,0.000771878133645824,8.37311541721257,274.286910011308,0.99585994565841,1
"Arthur Kill ST 3",23513,J,Steam Turbine,Natural Gas,40.5915,-74.2027,539,1,3.10833333333333,31.0833333333333,93.25,186.5,8.88948025593481,340.374965417359,0.986235370956814,-0.00356453070827763,10.3247749917535,231.015135919381,0.991459808797209,1
"Allegany",23514,B,Combined Cycle,Natural Gas,42.5083,-78.0661,66,11,0.733333333333333,7.33333333333333,22,44,8.21812207892634,-14.5776708726969,0.862442728659052,-0.0947725666528111,15.2090396204847,-125.857658382528,0.891406802628527,1
"Brooklyn Navy Yard",23515,J,Combined Cycle,Natural Gas,40.6994,-73.9758,240,101,1.59166666666667,15.9166666666667,47.75,95.5,10.7304695690484,132.050237837944,0.973868018509374,-0.0368081904197934,23.5191447507503,-921.292489279396,0.991601680450506,1
"Astoria 3",23516,J,Steam Turbine,Fuel Oil 2,40.7869,-73.9122,756,40,6.03333333333333,60.3333333333333,181,362,4.50471672595803,250.916419721616,0.99607462222505,0.000420233023843013,4.17838961603265,295.636902210019,0.996268542320795,1
"Astoria 5",23518,J,Steam Turbine,Fuel Oil 2,40.7869,-73.9122,776,2,6.46666666666667,64.6666666666667,194,388,4.41172712320357,267.137350581014,0.984701480288279,-3.67828870297219e-05,4.43940641147477,263.464135269433,0.984697799391585,1
"Wading River 1",23522,K,Combustion Turbine,Fuel Oil 2,40.9569,-72.8774,102,9,1.25833333333333,12.5833333333333,37.75,75.5,12.7793296809066,-5.23235501867136,0.960068572804356,-0.0516147563307827,18.0263011220483,-96.2256391925897,0.967170164296411,1
"Bowline 1",23526,G,Steam Turbine,Natural Gas,41.2044,-73.9689,621,30.55,6.20833333333333,62.0833333333333,186.25,372.5,8.34588048013814,659.342610015539,0.98799792055651,-0.00385444982569789,10.9628195221891,362.821240681756,0.991135209913556,1
"Ravenswood ST 01",23533,J,Steam Turbine,Fuel Oil 6,40.7585,-73.9451,380,1,2.75,27.5,82.5,165,8.90433717879128,239.172750838829,0.990378960597636,0.0020676137066251,8.13620342950277,286.313271483374,0.990771694857791,1
"Ravenswood ST 02",23534,J,Steam Turbine,Fuel Oil 6,40.7585,-73.9451,1000,3,7.85,78.5,235.5,471,9.14679002499355,546.885116225327,0.991790854059516,-0.00120837747638428,10.1581395224309,438.252621022043,0.993388574245521,1
