fid,NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,HubName,HubDist
1,Somerset,23543,A,Steam Turbine,Coal,43.3561,-78.6039,56,12.29874974
2,Indeck-Yerkes,23781,A,Combined Cycle,Natural Gas,42.9671,-78.9182,57,8.608200147
3,Lockport,23791,A,Combined Cycle,Natural Gas,43.1622,-78.7453,56,16.64343266
4,Indeck-Olean,23982,A,Combined Cycle,Natural Gas,42.0875,-78.4578,61,34.65245131
5,Fortistar - N.Tonawanda,24026,A,Combined Cycle,Natural Gas,43.0483,-78.8539,57,9.661975999
6,Jamestown 7,1659,A,Combustion Turbine,Natural Gas,42.0917,-79.2417,60,27.15297736
7,Allied Frozen Storage,23774,A,Internal Combustion,Natural Gas,42.842029,-78.722673,55,14.12591618
8,General Mills Inc,23808,A,Combustion Turbine,Natural Gas,42.870968,-78.875549,57,19.73671636
9,Jamestown 5,1658,A,Steam Turbine,Natural Gas,42.0917,-79.2417,60,27.15297736
10,Jamestown 6,1658,A,Steam Turbine,Natural Gas,42.0917,-79.2417,60,27.15297736
11,Allegany,23514,B,Combined Cycle,Natural Gas,42.5083,-78.0661,62,6.355161504
12,Batavia,24024,B,Combined Cycle,Natural Gas,42.9828,-78.1592,62,59.49942917
13,Greenidge 4,23583,C,Steam Turbine,Natural Gas,42.6789,-76.9483,65,6.054561681
14,Cayuga 1,23584,C,Steam Turbine,Coal,42.6028,-76.6336,65,28.40646886
15,Oswego 5,23606,C,Steam Turbine,Fuel Oil 6,43.46,-76.53,50,23.40007042
16,Oswego 6,23613,C,Steam Turbine,Fuel Oil 6,43.46,-76.53,50,23.40007042
17,Indeck-Silver Springs,23768,C,Combined Cycle,Natural Gas,42.6544,-78.0772,65,33.32619022
18,Indeck-Oswego,23783,C,Combined Cycle,Natural Gas,43.4682,-76.4965,50,22.36615481
19,Independence,23970,C,Combined Cycle,Natural Gas,43.495,-76.4508,50,23.06475241
20,Syracuse,23985,C,Combined Cycle,Natural Gas,43.0667,-76.2246,51,14.49368569
21,Carr St.-E. Syr,24060,C,Combined Cycle,Natural Gas,43.0611,-76.0819,51,19.9316157
22,Binghamton (RET - 1/9/18),23790,C,Combined Cycle,Natural Gas,42.107192,-75.927782,71,11.54199147
23,Saranac Energy,23793,D,Combined Cycle,Natural Gas,44.7132,-73.4557,48,53.77751409
24,Massena,23902,D,Combined Cycle,Natural Gas,44.9503,-74.8928,48,51.16849284
25,Sterling,23777,E,Combined Cycle,Natural Gas,43.0803,-75.6003,45,29.86475402
26,Beaver Falls,23983,E,Combined Cycle,Natural Gas,43.8861,-75.4342,47,67.56685762
27,Carthage Energy,23857,E,Combined Cycle,Natural Gas,43.9842,-75.6225,47,67.21846307
28,"Burrstone Engy Center, LLC LU",23633,E,Internal Combustion,Natural Gas,43.09534,-75.278357,45,5.043909502
29,"Burrstone Engy Center, LLC U",23633,E,Internal Combustion,Natural Gas,43.09534,-75.278357,45,5.043909502
30,St. Elizabeth Medical Center,23633,E,Internal Combustion,Natural Gas,43.082104,-75.2661,45,5.832776701
31,Athens 1,23668,F,Combined Cycle,Natural Gas,42.2728,-73.8492,42,45.12843739
32,Athens 2,23670,F,Combined Cycle,Natural Gas,42.2728,-73.8492,42,45.12843739
33,Athens 3,23677,F,Combined Cycle,Natural Gas,42.2728,-73.8492,42,45.12843739
34,Rensselaer,23796,F,Combined Cycle,Natural Gas,42.63,-73.75,42,12.80646317
35,Selkirk-II,23799,F,Combined Cycle,Natural Gas,42.5744,-73.8592,42,18.74042973
36,Castleton Energy Center,23900,F,Combined Cycle,Natural Gas,42.5375,-73.7433,42,20.57675728
37,Bethlehem Energy Center,323570,F,Combined Cycle,Natural Gas,42.5905,-73.7636,42,16.64550645
38,EMPIRE_CC_1,323656,F,Combined Cycle,Natural Gas,42.6296,-73.749,42,12.77050151
39,EMPIRE_CC_2,323658,F,Combined Cycle,Natural Gas,42.6296,-73.749,42,12.77050151
40,Indeck-Corinth,23802,F,Combined Cycle,Natural Gas,43.25,-73.8125,42,18.4104256
41,Selkirk-I,23801,F,Combined Cycle,Natural Gas,42.5744,-73.8592,42,18.74042973
42,Bowline 1,23526,G,Steam Turbine,Natural Gas,41.2044,-73.9689,77,12.87726647
43,Danskammer 1,23586,G,Steam Turbine,Natural Gas,41.573,-73.9646,77,29.24133648
44,Roseton 1,23587,G,Steam Turbine,Fuel Oil 6,41.5711,-73.9739,77,28.9153446
45,Roseton 2,23588,G,Steam Turbine,Fuel Oil 6,41.5711,-73.9739,77,28.9153446
46,Danskammer 2,23589,G,Steam Turbine,Natural Gas,41.573,-73.9646,77,29.24133648
47,Danskammer 3,23590,G,Steam Turbine,Natural Gas,41.573,-73.9646,77,29.24133648
48,Danskammer 4,23591,G,Steam Turbine,Natural Gas,41.573,-73.9646,77,29.24133648
49,Bowline 2,23595,G,Steam Turbine,Natural Gas,41.2044,-73.9689,77,12.87726647
50,Hillburn GT,23639,G,Jet Engine,Natural Gas,41.1269,-74.1653,77,4.733280033
51,Shoemaker GT,23640,G,Jet Engine,Natural Gas,41.4278,-74.4186,77,35.19731882
52,CPV_VALLEY___CC1,323721,G,Combined Cycle,Natural Gas,41.413,-74.435,77,34.0618316
53,CPV_VALLEY___CC2,323722,G,Combined Cycle,Natural Gas,41.413,-74.435,77,34.0618316
54,Coxsackie GT,23611,G,Combustion Turbine,Kerosene,42.350889,-73.815798,39,18.18118219
55,South Cairo,23612,G,Combustion Turbine,Kerosene,42.291275,-73.986452,39,23.11701271
56,Arthur Kill ST 2,23512,J,Steam Turbine,Natural Gas,40.5915,-74.2027,82,24.87856242
57,Arthur Kill ST 3,23513,J,Steam Turbine,Natural Gas,40.5915,-74.2027,82,24.87856242
58,Brooklyn Navy Yard,23515,J,Combined Cycle,Natural Gas,40.6994,-73.9758,82,4.339113629
